[2020-04-23 14:47:01] development.ERROR: ***Symfony\Component\Debug\Exception\FatalThrowableError*** [0] : C:\wamp\www\invoiceninja\app\Http\Controllers\ItemStoreController.php [Line 47] => Type error: Too few arguments to function App\Http\Controllers\ItemStoreController::getItemList(), 0 passed in C:\wamp\www\invoiceninja\app\Http\Controllers\ItemStoreController.php on line 44 and exactly 1 expected  {"context":"PHP","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","locale":"en","ip":"127.0.0.1","count":3,"is_console":"no","is_api":"no","db_server":"mysql","url":"item_stores"} []
[2020-04-23 19:51:56] development.ERROR: ***Symfony\Component\Debug\Exception\FatalErrorException*** [1] : C:\wamp\www\invoiceninja\app\Libraries\CurlUtils.php [Line 35] => Maximum execution time of 60 seconds exceeded  {"context":"PHP","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36","locale":"en","ip":"127.0.0.1","count":1,"is_console":"no","is_api":"no","db_server":"mysql","url":"/"} []
[2020-04-23 19:52:40] development.ERROR: CURL Error #7: Failed to connect to app.e-ninja.com port 443: Host unreachable  {"context":"PHP","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363","locale":"en","ip":"127.0.0.1","count":1,"is_console":"no","is_api":"no","db_server":"mysql","url":"/"} []
[2020-04-23 19:54:26] development.ERROR: CURL Error #6: Could not resolve host: app.e-ninja.com  {"context":"PHP","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36","locale":"en","ip":"127.0.0.1","count":1,"is_console":"no","is_api":"no","db_server":"mysql","url":"/"} []
[2020-04-23 20:00:25] development.ERROR: 'data' is not defined  {"context":"JavaScript","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363","locale":"en","ip":"127.0.0.1","count":2,"is_console":"no","is_api":"no","db_server":"mysql","url":"log_error"} []
[2020-04-23 20:07:33] development.ERROR: CURL Error #7: Failed to connect to app.e-ninja.com port 443: Host unreachable  {"context":"PHP","user_id":4,"account_id":1,"user_name":"Giando Aja","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","locale":"en","ip":"127.0.0.1","count":1,"is_console":"no","is_api":"no","db_server":"mysql","url":"item_stores"} []
[2020-04-23 20:11:18] development.ERROR: JSON.parse Error: Unexpected input at position:0  {"context":"JavaScript","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363","locale":"en","ip":"127.0.0.1","count":3,"is_console":"no","is_api":"no","db_server":"mysql","url":"log_error"} []
[2020-04-23 20:12:00] development.ERROR: JSON.parse Error: Invalid character at position:1  {"context":"JavaScript","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363","locale":"en","ip":"127.0.0.1","count":4,"is_console":"no","is_api":"no","db_server":"mysql","url":"log_error"} []
[2020-04-23 20:12:39] development.ERROR: JSON.parse Error: Unexpected input at position:0  {"context":"JavaScript","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363","locale":"en","ip":"127.0.0.1","count":5,"is_console":"no","is_api":"no","db_server":"mysql","url":"log_error"} []
[2020-04-23 20:15:25] development.ERROR: 'responseJSON' is not defined  {"context":"JavaScript","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363","locale":"en","ip":"127.0.0.1","count":6,"is_console":"no","is_api":"no","db_server":"mysql","url":"log_error"} []
[2020-04-23 20:18:09] development.ERROR: 'JsonResponse' is not defined  {"context":"JavaScript","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363","locale":"en","ip":"127.0.0.1","count":7,"is_console":"no","is_api":"no","db_server":"mysql","url":"log_error"} []
[2020-04-23 20:45:00] development.ERROR: JSON.parse Error: Unexpected input at position:0  {"context":"JavaScript","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363","locale":"en","ip":"127.0.0.1","count":8,"is_console":"no","is_api":"no","db_server":"mysql","url":"log_error"} []
[2020-04-23 20:52:35] development.ERROR: ***Symfony\Component\Console\Exception\CommandNotFoundException*** [0] : C:\wamp\www\invoiceninja\vendor\symfony\console\Application.php [Line 642] => Command "config" is not defined.  Did you mean one of these?     config:cache     config:clear     module:publish-config  {"context":"PHP","user_id":0,"account_id":0,"user_name":"","method":"GET","user_agent":"","locale":"en","ip":"127.0.0.1","count":1,"is_console":"yes","is_api":"no","db_server":"mysql","url":"/"} []
[2020-04-23 21:10:07] development.ERROR: Unable to get property 'key1' of undefined or null reference  {"context":"JavaScript","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363","locale":"en","ip":"127.0.0.1","count":9,"is_console":"no","is_api":"no","db_server":"mysql","url":"log_error"} []
[2020-04-24 06:31:22] development.ERROR: ***Symfony\Component\Debug\Exception\FatalErrorException*** [1] : C:\wamp\www\invoiceninja\app\Libraries\CurlUtils.php [Line 35] => Maximum execution time of 60 seconds exceeded  {"context":"PHP","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36","locale":"en","ip":"127.0.0.1","count":1,"is_console":"no","is_api":"no","db_server":"mysql","url":"/"} []
[2020-04-24 06:33:22] development.ERROR: ***Symfony\Component\Debug\Exception\FatalErrorException*** [1] : C:\wamp\www\invoiceninja\app\Libraries\CurlUtils.php [Line 35] => Maximum execution time of 60 seconds exceeded  {"context":"PHP","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36","locale":"en","ip":"127.0.0.1","count":1,"is_console":"no","is_api":"no","db_server":"mysql","url":"/"} []
[2020-04-24 06:34:38] development.ERROR: ***Symfony\Component\Debug\Exception\FatalErrorException*** [1] : C:\wamp\www\invoiceninja\app\Libraries\CurlUtils.php [Line 35] => Maximum execution time of 60 seconds exceeded  {"context":"PHP","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","locale":"en","ip":"127.0.0.1","count":1,"is_console":"no","is_api":"no","db_server":"mysql","url":"/"} []
[2020-04-24 06:36:01] development.ERROR: ***Symfony\Component\Debug\Exception\FatalErrorException*** [1] : C:\wamp\www\invoiceninja\app\Libraries\CurlUtils.php [Line 35] => Maximum execution time of 60 seconds exceeded  {"context":"PHP","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","locale":"en","ip":"127.0.0.1","count":1,"is_console":"no","is_api":"no","db_server":"mysql","url":"/"} []
[2020-04-24 06:41:31] development.ERROR: ***Symfony\Component\Debug\Exception\FatalErrorException*** [1] : C:\wamp\www\invoiceninja\app\Libraries\CurlUtils.php [Line 35] => Maximum execution time of 60 seconds exceeded  {"context":"PHP","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36","locale":"en","ip":"127.0.0.1","count":1,"is_console":"no","is_api":"no","db_server":"mysql","url":"/"} []
[2020-04-24 06:45:34] development.ERROR: CURL Error #6: Could not resolve host: app.e-ninja.com  {"context":"PHP","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36","locale":"en","ip":"127.0.0.1","count":1,"is_console":"no","is_api":"no","db_server":"mysql","url":"/"} []
[2020-04-24 06:45:39] development.ERROR: CURL Error #6: Could not resolve host: app.e-ninja.com  {"context":"PHP","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","locale":"en","ip":"127.0.0.1","count":1,"is_console":"no","is_api":"no","db_server":"mysql","url":"/"} []
